,Team,Att,Cmp,Cmp_%,Yds/Att,Pass_Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Years
51,Lions,609,343,56.3,6.5,3969,18,24,69.6,184,30.2,52,6,76,66,373,2001
52,Broncos,511,312,61.1,6.3,3208,26,19,80.6,174,34.1,30,2,65,42,268,2001
53,Cowboys,413,210,50.8,5.8,2408,14,20,59.9,110,26.6,32,8,80,34,190,2001
54,Browns,466,279,59.9,6.8,3154,18,21,74.3,139,29.8,42,7,78,51,353,2001
55,Bengals,602,322,53.5,5.5,3291,12,26,58.1,176,29.2,32,2,49,28,203,2001
56,Bears,528,315,59.7,5.8,3072,20,16,76,153,29,35,7,66,17,120,2001
57,Panthers,579,314,54.2,5.4,3098,12,22,60.6,144,24.9,32,4,48,32,216,2001
58,Bills,557,327,58.7,6.7,3722,18,20,74.7,180,32.3,48,10,80,46,271,2001
59,Ravens,557,320,57.5,6.5,3595,18,20,72.7,180,32.3,43,6,77,40,281,2001
60,Redskins,559,300,53.7,6.3,3523,24,20,72.5,165,29.5,36,7,62,38,269,2002
61,Buccaneers,567,348,61.4,6.5,3665,23,10,86.3,172,30.3,37,6,76,41,220,2002
62,Seahawks,587,361,61.5,7.3,4257,19,16,83,208,35.4,45,8,83,33,179,2002
63,49ers,571,354,62,6.3,3576,23,10,86,182,31.9,32,7,76,22,119,2002
64,Chargers,538,324,60.2,6.3,3368,17,16,76.5,166,30.9,42,5,52,24,180,2002
65,Steelers,551,350,63.5,7.3,4036,26,22,84.6,200,36.3,51,8,72,34,204,2002
66,Cardinals,548,291,53.1,5.5,3038,18,22,63.7,148,27,30,3,80,41,298,2002
67,Eagles,548,318,58,6.6,3606,27,11,85.9,164,29.9,49,7,59,36,222,2002
68,Jets,485,329,67.8,7.5,3619,25,10,98.3,190,39.2,44,3,47,32,201,2002
69,Giants,549,338,61.6,7.5,4103,19,14,85.4,195,35.5,61,4,82,24,152,2002
70,Saints,538,291,54.1,6.8,3685,27,15,80.8,169,31.4,48,13,64,37,244,2002
71,Patriots,605,374,61.8,6.2,3767,28,14,85.3,184,30.4,37,3,49,31,190,2002
72,Vikings,558,337,60.4,7.1,3951,19,23,76.1,191,34.2,50,10,61,49,266,2002
73,Dolphins,455,271,59.6,6.7,3069,18,15,79.3,155,34.1,38,5,77,25,179,2002
74,Raiders,619,418,67.5,7.6,4689,26,10,97.2,226,36.5,48,8,75,36,214,2002
75,Rams,635,408,64.3,7.1,4480,24,27,79.9,219,34.5,56,7,58,46,326,2002
76,Chiefs,477,292,61.2,7.9,3763,27,13,93.5,179,37.5,47,13,99,26,141,2002
77,Jaguars,462,268,58,6.5,3019,18,9,82.5,156,33.8,30,6,79,42,257,2002
78,Colts,591,392,66.3,7.1,4200,27,19,88.8,213,36,51,11,69,23,145,2002
79,Texans,447,235,52.6,5.9,2636,11,15,64.7,119,26.6,32,5,81,76,411,2002
80,Titans,500,306,61.2,6.9,3441,22,15,83.9,182,36.4,35,6,55,21,121,2002
81,Packers,580,361,62.2,6.6,3823,29,16,86.6,197,34,42,7,85,27,196,2002
82,Lions,577,277,48,5.5,3168,19,25,57.9,150,26,40,10,64,20,174,2002
83,Broncos,554,359,64.8,7.5,4139,21,20,84.8,199,35.9,43,10,82,46,315,2002
84,Cowboys,471,252,53.5,6.4,3020,14,16,69.1,129,27.4,34,10,80,54,399,2002
85,Browns,552,338,61.2,6.6,3665,27,22,80.5,171,31,47,10,78,35,253,2002
86,Bengals,591,350,59.2,6.3,3732,17,22,71.8,186,31.5,32,5,72,37,256,2002
87,Bears,543,310,57.1,6.1,3316,22,18,74.8,156,28.7,49,7,76,44,265,2002
88,Panthers,464,255,55,6.4,2981,15,22,65.7,133,28.7,51,6,69,44,287,2002
89,Bills,612,377,61.6,7.1,4364,24,15,86,218,35.6,45,13,73,54,369,2002
90,Redskins,527,283,53.7,6.2,3273,21,16,73.3,156,29.6,45,4,64,43,267,2003
91,Buccaneers,592,369,62.3,6.7,3941,27,22,81.5,190,32.1,38,9,76,23,136,2003
92,Seahawks,521,317,60.8,7.4,3872,27,16,88.2,190,36.5,54,5,80,43,254,2003
93,49ers,511,299,58.5,7,3566,25,15,84,172,33.7,46,7,75,28,158,2003
94,Chargers,525,297,56.6,6.1,3226,21,19,73.1,146,27.8,45,6,73,29,205,2003
95,Steelers,532,306,57.5,6.7,3548,19,17,76.4,174,32.7,46,5,81,42,244,2003
96,Cardinals,534,303,56.7,6.1,3265,18,22,68.9,147,27.5,38,8,71,44,306,2003
97,Eagles,484,279,57.6,6.8,3273,17,11,80.5,156,32.2,45,9,59,43,253,2003
98,Jets,496,312,62.9,7.1,3524,20,14,85.8,181,36.5,44,8,65,31,208,2003
99,Giants,616,344,55.8,5.9,3642,16,20,68.4,184,29.9,35,8,77,44,259,2003
100,Saints,535,314,58.7,6.8,3641,25,8,88.7,177,33.1,36,7,76,36,203,2003
