,Team,FF,FR,FR_TD,Rec_FUM,Rush_FUM,Years
321,Rams,23,12,0,5,5,2010
322,Chiefs,18,9,0,2,9,2010
323,Jaguars,8,5,0,4,4,2010
324,Colts,12,11,1,5,7,2010
325,Texans,11,5,0,3,5,2010
326,Titans,17,8,0,3,11,2010
327,Packers,15,8,1,5,6,2010
328,Lions,21,15,1,8,8,2010
329,Broncos,13,8,1,1,13,2010
330,Cowboys,14,10,1,3,9,2010
331,Browns,9,9,1,1,4,2010
332,Bengals,12,10,1,5,8,2010
333,Bears,23,14,0,6,15,2010
334,Panthers,14,12,0,5,9,2010
335,Bills,15,11,1,4,10,2010
336,Ravens,15,8,0,7,10,2010
337,Falcons,14,9,1,4,8,2010
338,Redskins,17,8,0,5,5,2011
339,Buccaneers,13,10,1,3,10,2011
340,Seahawks,13,9,0,5,4,2011
341,49ers,19,15,0,5,10,2011
342,Chargers,7,4,1,3,3,2011
343,Steelers,10,4,1,1,2,2011
344,Cardinals,12,9,0,3,3,2011
345,Eagles,10,9,3,3,5,2011
346,Jets,19,12,0,2,10,2011
347,Giants,13,11,1,1,10,2011
348,Saints,17,7,2,5,7,2011
349,Patriots,10,11,1,0,10,2011
350,Vikings,19,15,0,5,5,2011
351,Dolphins,9,3,0,1,9,2011
352,Raiders,7,8,1,3,3,2011
353,Rams,16,6,0,2,12,2011
354,Chiefs,13,6,0,1,8,2011
355,Jaguars,19,11,3,1,7,2011
356,Colts,14,9,1,4,5,2011
357,Texans,13,10,0,0,8,2011
358,Titans,15,12,0,5,9,2011
359,Packers,13,7,1,8,6,2011
360,Lions,17,13,2,4,5,2011
361,Broncos,11,9,0,3,5,2011
362,Cowboys,13,9,0,4,6,2011
363,Browns,15,11,0,4,6,2011
364,Bengals,18,12,2,8,8,2011
365,Bears,14,11,2,3,9,2011
366,Panthers,12,10,0,4,10,2011
367,Bills,15,11,2,2,9,2011
368,Ravens,21,11,3,6,10,2011
369,Falcons,13,10,1,4,5,2011
370,Redskins,12,9,1,3,7,2012
371,Buccaneers,11,8,0,4,3,2012
372,Seahawks,18,13,1,5,8,2012
373,49ers,15,11,1,7,5,2012
374,Chargers,18,14,2,6,9,2012
375,Steelers,15,10,0,5,6,2012
376,Cardinals,13,11,1,4,5,2012
377,Eagles,13,5,0,0,7,2012
378,Jets,14,12,1,3,7,2012
379,Giants,16,14,1,5,8,2012
380,Saints,11,11,0,2,6,2012
381,Patriots,30,21,3,9,19,2012
382,Vikings,16,12,0,3,8,2012
383,Dolphins,15,6,0,6,3,2012
384,Raiders,9,8,0,6,3,2012
