,Team,Rsh_TD,Rec_TD,Tot_TD,2-PT,Years
362,Cowboys,5,33,39,0,2011
363,Browns,4,16,21,0,2011
364,Bengals,10,21,35,0,2011
365,Bears,10,18,38,1,2011
366,Panthers,26,21,48,2,2011
367,Bills,12,24,43,1,2011
368,Ravens,15,21,41,1,2011
369,Falcons,14,29,46,0,2011
370,Redskins,22,24,52,1,2012
371,Buccaneers,13,27,44,1,2012
372,Seahawks,16,27,49,0,2012
373,49ers,17,23,44,0,2012
374,Chargers,4,26,39,0,2012
375,Steelers,8,27,36,1,2012
376,Cardinals,10,11,25,0,2012
377,Eagles,10,18,29,0,2012
378,Jets,12,14,31,0,2012
379,Giants,18,26,47,1,2012
380,Saints,10,43,58,1,2012
381,Patriots,25,34,67,0,2012
382,Vikings,16,18,39,2,2012
383,Dolphins,15,13,31,2,2012
384,Raiders,4,24,28,2,2012
385,Rams,5,22,32,5,2012
386,Chiefs,9,8,18,0,2012
387,Jaguars,5,20,26,3,2012
388,Colts,11,23,40,1,2012
389,Texans,19,22,46,0,2012
390,Titans,10,17,36,1,2012
391,Packers,9,40,53,1,2012
392,Lions,17,22,39,1,2012
393,Broncos,12,37,57,1,2012
394,Cowboys,8,29,41,3,2012
395,Browns,12,16,31,0,2012
396,Bengals,11,28,43,0,2012
397,Bears,11,21,42,1,2012
398,Panthers,21,19,44,0,2012
399,Bills,12,24,40,0,2012
400,Ravens,17,22,44,1,2012
401,Falcons,12,32,46,0,2012
402,Redskins,14,20,39,2,2013
403,Buccaneers,6,22,31,0,2013
404,Seahawks,14,27,45,0,2013
405,49ers,18,21,44,0,2013
406,Chargers,9,32,42,0,2013
407,Steelers,9,28,41,1,2013
408,Cardinals,12,24,41,1,2013
409,Eagles,19,32,53,3,2013
410,Jets,12,13,27,0,2013
411,Giants,11,18,32,1,2013
412,Saints,10,39,49,0,2013
413,Patriots,19,25,47,2,2013
414,Vikings,23,18,45,0,2013
415,Dolphins,8,24,34,0,2013
416,Raiders,16,17,37,0,2013
417,Rams,10,22,38,3,2013
418,Chiefs,17,24,52,0,2013
419,Jaguars,7,16,25,0,2013
420,Colts,15,23,40,4,2013
421,Texans,7,19,28,1,2013
422,Titans,16,22,41,0,2013
423,Packers,17,25,46,0,2013
424,Lions,15,29,48,2,2013
425,Broncos,16,55,76,0,2013
426,Cowboys,12,33,51,1,2013
427,Browns,4,26,35,1,2013
428,Bengals,14,33,54,0,2013
429,Bears,13,32,52,5,2013
430,Panthers,14,24,42,0,2013
431,Bills,15,16,34,2,2013
432,Ravens,7,19,29,3,2013
433,Falcons,11,26,40,1,2013
434,Redskins,15,18,33,0,2014
435,Buccaneers,7,21,31,0,2014
436,Seahawks,20,20,43,0,2014
437,49ers,10,20,33,0,2014
438,Chargers,6,31,40,0,2014
439,Steelers,10,33,49,4,2014
440,Cardinals,6,21,32,2,2014
441,Eagles,16,27,54,0,2014
442,Jets,11,16,27,0,2014
443,Giants,13,30,44,0,2014
444,Saints,16,33,49,0,2014
445,Patriots,13,34,52,0,2014
446,Vikings,12,17,35,4,2014
447,Dolphins,12,27,42,1,2014
448,Raiders,4,22,28,0,2014
449,Rams,11,20,36,1,2014
450,Chiefs,18,18,40,0,2014
451,Jaguars,9,15,27,1,2014
452,Colts,9,42,53,0,2014
453,Texans,12,22,40,0,2014
454,Titans,6,20,28,0,2014
455,Packers,14,38,58,1,2014
456,Lions,11,22,35,1,2014
457,Broncos,15,40,58,2,2014
458,Cowboys,16,37,56,0,2014
459,Browns,17,12,32,0,2014
460,Bengals,19,20,40,1,2014
461,Bears,8,30,40,5,2014
462,Panthers,10,23,36,1,2014
463,Bills,7,23,34,2,2014
464,Ravens,16,27,46,1,2014
465,Falcons,11,28,42,1,2014
466,Redskins,9,30,44,2,2015
467,Buccaneers,12,22,37,1,2015
468,Seahawks,10,34,49,1,2015
469,49ers,7,16,24,1,2015
470,Chargers,4,30,35,2,2015
471,Steelers,16,26,45,8,2015
472,Cardinals,16,35,58,0,2015
473,Eagles,15,23,45,0,2015
474,Jets,11,33,44,0,2015
475,Giants,5,36,47,1,2015
476,Saints,16,32,51,1,2015
477,Patriots,14,36,52,0,2015
478,Vikings,18,14,38,1,2015
479,Dolphins,11,24,39,2,2015
480,Raiders,7,34,42,1,2015
481,Rams,16,11,31,1,2015
482,Chiefs,19,20,45,2,2015
483,Jaguars,5,35,44,1,2015
484,Colts,6,26,37,1,2015
485,Texans,7,29,39,2,2015
486,Titans,10,25,37,3,2015
487,Packers,8,31,42,4,2015
488,Lions,7,33,42,0,2015
489,Broncos,13,19,38,0,2015
490,Cowboys,8,16,26,1,2015
491,Browns,5,20,28,2,2015
492,Bengals,18,31,50,1,2015
493,Bears,13,21,34,2,2015
494,Panthers,19,35,59,0,2015
495,Bills,19,23,45,2,2015
496,Ravens,8,21,33,1,2015
497,Falcons,13,21,38,1,2015
498,Redskins,17,25,43,0,2016
499,Buccaneers,8,29,41,4,2016
500,Seahawks,13,23,37,1,2016
501,49ers,15,21,36,2,2016
502,Chargers,10,33,48,0,2016
503,Steelers,13,33,47,3,2016
504,Cardinals,20,28,51,1,2016
505,Eagles,16,16,37,4,2016
506,Jets,10,16,28,1,2016
507,Giants,6,26,36,0,2016
508,Saints,17,38,55,2,2016
509,Patriots,19,32,51,1,2016
510,Vikings,9,20,36,1,2016
511,Dolphins,14,27,45,1,2016
512,Raiders,17,29,47,5,2016
513,Rams,9,14,24,0,2016
514,Chiefs,15,19,42,2,2016
515,Jaguars,8,24,34,2,2016
516,Colts,13,32,47,2,2016
517,Texans,8,15,25,0,2016
518,Titans,16,29,46,0,2016
519,Packers,11,40,51,2,2016
520,Lions,9,24,36,1,2016
521,Broncos,11,20,35,1,2016
522,Cowboys,24,25,49,0,2016
523,Browns,13,15,29,2,2016
524,Bengals,17,18,35,0,2016
525,Bears,10,19,32,0,2016
526,Panthers,16,21,40,3,2016
527,Bills,29,17,49,4,2016
528,Ravens,10,20,32,4,2016
529,Falcons,20,38,63,2,2016
530,Redskins,10,27,39,0,2017
531,Buccaneers,8,26,38,2,2017
532,Seahawks,4,34,43,2,2017
533,49ers,15,15,31,0,2017
534,Chargers,10,28,43,0,2017
535,Steelers,12,29,43,2,2017
536,Cardinals,6,21,29,1,2017
537,Eagles,9,38,53,6,2017
538,Jets,13,19,32,1,2017
