,Team,FR_TD,SFTY,INT_TD,Years
465,Falcons,1,0,1,2014
466,Redskins,1,1,1,2015
467,Buccaneers,2,0,1,2015
468,Seahawks,3,0,0,2015
469,49ers,0,0,1,2015
470,Chargers,0,0,1,2015
471,Steelers,0,0,2,2015
472,Cardinals,2,2,4,2015
473,Eagles,1,1,3,2015
474,Jets,0,0,0,2015
475,Giants,2,1,2,2015
476,Saints,1,0,0,2015
477,Patriots,2,1,0,2015
478,Vikings,1,0,2,2015
479,Dolphins,0,0,3,2015
480,Raiders,0,2,1,2015
481,Rams,2,1,1,2015
482,Chiefs,2,1,4,2015
483,Jaguars,2,0,1,2015
484,Colts,1,1,4,2015
485,Texans,1,0,2,2015
486,Titans,1,0,1,2015
487,Packers,0,0,2,2015
488,Lions,1,2,1,2015
489,Broncos,1,1,4,2015
490,Cowboys,0,1,1,2015
491,Browns,0,0,2,2015
492,Bengals,0,0,1,2015
493,Bears,0,0,0,2015
494,Panthers,0,0,4,2015
495,Bills,1,1,2,2015
496,Ravens,1,0,1,2015
497,Falcons,2,0,1,2015
498,Redskins,0,0,0,2016
499,Buccaneers,0,1,4,2016
500,Seahawks,1,1,0,2016
501,49ers,0,1,0,2016
502,Chargers,2,1,3,2016
503,Steelers,1,1,0,2016
504,Cardinals,1,2,2,2016
505,Eagles,0,1,3,2016
506,Jets,0,0,0,2016
507,Giants,2,0,1,2016
508,Saints,0,1,0,2016
509,Patriots,0,3,0,2016
510,Vikings,2,1,2,2016
511,Dolphins,0,0,1,2016
512,Raiders,0,0,1,2016
513,Rams,1,0,0,2016
514,Chiefs,1,1,4,2016
515,Jaguars,0,0,1,2016
516,Colts,1,0,0,2016
517,Texans,0,1,1,2016
518,Titans,1,0,0,2016
519,Packers,0,0,0,2016
520,Lions,0,2,1,2016
521,Broncos,1,0,3,2016
522,Cowboys,0,0,0,2016
523,Browns,0,0,1,2016
524,Bengals,0,1,0,2016
525,Bears,1,1,1,2016
526,Panthers,2,1,1,2016
527,Bills,2,0,1,2016
528,Ravens,1,0,0,2016
529,Falcons,2,0,3,2016
530,Redskins,0,0,2,2017
531,Buccaneers,3,0,1,2017
532,Seahawks,1,2,3,2017
533,49ers,0,0,1,2017
534,Chargers,1,0,2,2017
535,Steelers,0,1,0,2017
536,Cardinals,1,0,1,2017
537,Eagles,4,0,1,2017
538,Jets,0,0,0,2017
539,Giants,0,1,2,2017
540,Saints,1,0,2,2017
541,Patriots,0,2,0,2017
542,Vikings,0,1,1,2017
543,Dolphins,2,2,1,2017
544,Raiders,0,0,0,2017
545,Rams,0,2,3,2017
546,Chiefs,3,0,0,2017
547,Jaguars,5,0,2,2017
548,Colts,0,2,1,2017
549,Texans,2,1,2,2017
550,Titans,1,0,0,2017
551,Packers,1,0,1,2017
552,Lions,2,0,3,2017
