,Team,Att,Cmp,Cmp_%,Yds/Att,Pass_Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Att_Rush,Rush_Yds,YPC,TDC,20+C,40+C,LngC,Rush_1st,Rush_1st%,Rush_FUM,Tot_TD,Years
618,Cowboys,597,388,65,8.2,4902,30,11,99.5,229,38.4,68,16,62,23,151,449,2153,4.8,18,11,2,44,120,26.7,7,49,2019
619,Browns,539,318,59,7.1,3847,22,21,78.4,180,33.4,58,9,89,41,293,393,1901,4.8,15,11,4,88,90,22.9,5,38,2019
620,Bengals,616,356,57.8,6.5,3994,18,16,76.2,191,31,48,7,66,48,342,385,1517,3.9,9,8,1,41,85,22.1,3,28,2019
621,Bears,580,371,64,6.2,3573,20,12,83.9,178,30.7,39,2,53,45,282,395,1458,3.7,8,5,2,55,85,21.5,5,30,2019
622,Panthers,633,382,60.3,6.5,4134,17,21,74.7,230,36.3,40,7,52,58,484,386,1819,4.7,20,7,5,84,82,21.2,7,38,2019
623,Bills,513,299,58.3,6.8,3476,21,12,82.8,162,31.6,54,8,53,40,247,465,2054,4.4,13,13,1,41,120,25.8,13,35,2019
624,Ravens,440,289,65.7,7.6,3350,37,8,109,171,38.9,44,8,83,28,125,596,3296,5.5,21,23,5,63,188,31.5,12,64,2019
625,Falcons,684,459,67.1,7.4,5049,29,15,93.8,258,37.7,52,5,93,50,335,362,1361,3.8,10,6,0,28,84,23.2,4,42,2019
626,Football ,601,389,64.7,6.3,3796,16,16,80.1,184,30.6,40,6,68,50,331,400,1611,4,18,7,1,40,108,27,3,37,2020
627,Buccaneers,626,410,65.5,7.6,4776,42,12,102.8,238,38,67,12,50,22,150,369,1519,4.1,16,9,2,98,82,22.2,3,59,2020
628,Seahawks,563,388,68.9,7.5,4245,40,13,105,216,38.4,45,11,62,48,304,411,1971,4.8,15,11,1,50,111,27,6,55,2020
629,49ers,570,371,65.1,7.6,4320,25,17,90.1,217,38.1,55,10,76,39,287,437,1889,4.3,19,8,2,80,101,23.1,6,45,2020
630,Chargers,627,413,65.9,7.3,4548,31,10,97,226,36,54,10,72,34,219,466,1784,3.8,12,10,0,36,111,23.8,8,45,2020
631,Steelers,656,428,65.2,6.3,4129,35,11,93.5,206,31.4,48,7,84,14,126,373,1351,3.6,12,10,2,59,81,21.7,7,50,2020
632,Cardinals,575,387,67.3,7.1,4102,27,13,94.1,211,36.7,45,14,80,29,186,479,2237,4.7,22,17,2,69,136,28.4,9,49,2020
633,Eagles,598,334,55.9,6.2,3728,22,20,72.9,177,29.6,43,9,81,65,401,403,2027,5,16,12,5,82,114,28.3,15,42,2020
634,Jets,499,292,58.5,6.2,3115,16,14,75.9,146,29.3,39,6,69,43,319,406,1683,4.1,9,4,1,46,94,23.2,2,26,2020
635,Giants,517,321,62.1,6.5,3336,12,11,79.6,178,34.4,36,5,53,50,310,399,1768,4.4,13,9,3,80,91,22.8,5,27,2020
636,Saints,522,370,70.9,7.6,3945,28,8,104.1,199,38.1,44,9,52,29,187,494,2265,4.6,30,14,3,49,147,29.8,9,59,2020
637,Patriots,440,283,64.3,7.1,3124,12,14,81.1,157,35.7,38,3,50,37,234,502,2346,4.7,20,13,3,49,143,28.5,8,36,2020
638,Vikings,516,349,67.6,8.3,4265,35,13,105,212,41.1,58,7,71,39,256,468,2283,4.9,20,10,1,70,139,29.7,5,55,2020
639,Dolphins,559,370,66.2,7,3937,24,13,91.2,207,37,40,4,70,34,201,428,1688,3.9,15,7,0,31,100,23.4,5,42,2020
640,Raiders,551,369,67,8,4383,28,10,100.4,206,37.4,59,12,85,28,166,457,1916,4.2,20,9,1,43,121,26.5,9,48,2020
641,Rams,590,392,66.4,7.1,4183,20,14,88.4,206,34.9,50,6,56,25,169,473,2018,4.3,19,9,4,61,123,26,4,43,2020
642,Chiefs,630,420,66.7,7.9,5005,40,7,107.3,255,40.5,69,8,75,24,151,403,1799,4.5,13,10,0,32,110,27.3,5,57,2020
643,Jaguars,616,387,62.8,6.4,3955,25,16,83.9,205,33.3,45,5,73,44,256,337,1519,4.5,9,6,1,47,80,23.7,3,37,2020
644,Colts,552,371,67.2,7.6,4186,24,11,95.9,201,36.4,56,8,55,21,133,459,1996,4.3,20,12,3,62,129,28.1,1,50,2020
645,Texans,546,383,70.1,8.9,4843,33,7,112.3,222,40.7,70,11,77,50,305,344,1466,4.3,10,5,1,48,83,24.1,7,44,2020
646,Titans,485,316,65.2,7.9,3826,33,7,105.9,203,41.9,44,13,75,25,173,521,2690,5.2,26,20,5,94,142,27.3,5,62,2020
647,Packers,526,372,70.7,8.2,4299,48,5,121.5,216,41.1,57,14,78,21,193,443,2118,4.8,16,10,4,77,114,25.7,4,66,2020
