,Team,INT,INT_TD,INT_Yds,Lng,Years
454,Titans,12,1,122,34,2014
455,Packers,18,3,396,82,2014
456,Lions,20,1,388,70,2014
457,Broncos,18,2,213,38,2014
458,Cowboys,18,2,228,58,2014
459,Browns,21,2,333,62,2014
460,Bengals,20,1,161,31,2014
461,Bears,14,1,141,45,2014
462,Panthers,14,2,350,84,2014
463,Bills,19,0,322,45,2014
464,Ravens,11,1,135,44,2014
465,Falcons,16,1,113,23,2014
466,Redskins,11,1,181,44,2015
467,Buccaneers,11,1,93,26,2015
468,Seahawks,14,0,205,54,2015
469,49ers,9,1,125,45,2015
470,Chargers,11,1,152,68,2015
471,Steelers,17,2,282,70,2015
472,Cardinals,19,4,263,40,2015
473,Eagles,15,3,280,99,2015
474,Jets,18,0,191,31,2015
475,Giants,15,2,206,63,2015
476,Saints,9,0,87,24,2015
477,Patriots,12,0,176,51,2015
478,Vikings,13,2,215,91,2015
479,Dolphins,13,3,184,42,2015
480,Raiders,14,1,73,27,2015
481,Rams,13,1,182,58,2015
482,Chiefs,22,4,477,90,2015
483,Jaguars,9,1,120,48,2015
484,Colts,17,4,196,69,2015
485,Texans,14,2,180,50,2015
486,Titans,11,1,164,45,2015
487,Packers,16,2,198,45,2015
488,Lions,9,1,103,31,2015
489,Broncos,14,4,321,74,2015
490,Cowboys,8,1,62,24,2015
491,Browns,11,2,210,52,2015
492,Bengals,21,1,202,37,2015
493,Bears,8,0,103,39,2015
494,Panthers,24,4,301,46,2015
495,Bills,17,2,253,44,2015
496,Ravens,6,1,51,25,2015
497,Falcons,15,1,220,84,2015
498,Redskins,13,0,186,79,2016
499,Buccaneers,17,4,234,53,2016
500,Seahawks,11,0,72,31,2016
501,49ers,10,0,96,39,2016
502,Chargers,18,3,292,90,2016
503,Steelers,13,0,133,58,2016
504,Cardinals,14,2,263,66,2016
505,Eagles,16,3,207,64,2016
506,Jets,8,0,141,51,2016
507,Giants,17,1,174,44,2016
508,Saints,9,0,109,30,2016
509,Patriots,13,0,109,46,2016
510,Vikings,14,2,253,100,2016
511,Dolphins,16,1,186,60,2016
512,Raiders,16,1,147,40,2016
513,Rams,10,0,71,29,2016
514,Chiefs,18,4,271,55,2016
515,Jaguars,7,1,104,35,2016
516,Colts,8,0,100,56,2016
517,Texans,11,1,132,42,2016
518,Titans,12,0,68,33,2016
519,Packers,17,0,209,44,2016
520,Lions,10,1,96,39,2016
521,Broncos,14,3,367,51,2016
522,Cowboys,9,0,75,27,2016
523,Browns,10,1,146,67,2016
524,Bengals,17,0,138,47,2016
525,Bears,8,1,73,25,2016
526,Panthers,17,1,204,37,2016
527,Bills,12,1,207,49,2016
528,Ravens,18,0,178,53,2016
529,Falcons,12,3,279,90,2016
530,Redskins,16,2,194,96,2017
531,Buccaneers,13,1,218,47,2017
532,Seahawks,14,3,212,78,2017
533,49ers,10,1,185,50,2017
534,Chargers,18,2,302,90,2017
535,Steelers,16,0,184,41,2017
536,Cardinals,15,1,258,82,2017
537,Eagles,19,1,278,59,2017
538,Jets,11,0,151,48,2017
539,Giants,13,2,161,53,2017
540,Saints,20,2,192,33,2017
541,Patriots,12,0,114,39,2017
542,Vikings,14,1,200,36,2017
543,Dolphins,9,1,99,30,2017
544,Raiders,5,0,10,8,2017
545,Rams,18,3,401,69,2017
546,Chiefs,16,0,201,62,2017
547,Jaguars,21,2,294,67,2017
548,Colts,13,1,215,44,2017
549,Texans,11,2,144,82,2017
550,Titans,12,0,154,33,2017
551,Packers,11,1,54,21,2017
552,Lions,19,3,253,37,2017
553,Broncos,10,2,237,103,2017
554,Cowboys,10,1,98,25,2017
555,Browns,7,1,97,56,2017
556,Bengals,11,3,339,101,2017
557,Bears,8,2,253,90,2017
558,Panthers,10,0,78,40,2017
559,Bills,18,1,275,63,2017
560,Ravens,22,3,385,63,2017
561,Falcons,8,0,108,43,2017
562,Redskins,15,0,203,40,2018
563,Buccaneers,9,0,97,50,2018
564,Seahawks,12,1,196,98,2018
565,49ers,2,1,55,32,2018
566,Chargers,13,1,247,86,2018
567,Steelers,8,2,89,35,2018
568,Cardinals,7,0,55,25,2018
569,Eagles,10,0,139,29,2018
570,Jets,13,3,318,104,2018
571,Giants,16,3,191,46,2018
572,Saints,12,1,259,78,2018
573,Patriots,18,1,156,84,2018
574,Vikings,12,1,159,52,2018
575,Dolphins,21,3,321,54,2018
576,Raiders,14,1,124,36,2018
577,Rams,18,3,290,50,2018
578,Chiefs,15,3,280,67,2018
579,Jaguars,11,2,117,33,2018
580,Colts,15,0,220,47,2018
581,Texans,15,3,252,101,2018
582,Titans,11,2,120,56,2018
583,Packers,7,1,100,27,2018
584,Lions,7,2,148,67,2018
585,Broncos,17,2,158,53,2018
586,Cowboys,9,0,141,49,2018
587,Browns,17,0,100,50,2018
588,Bengals,12,3,222,58,2018
589,Bears,27,5,330,49,2018
590,Panthers,13,0,86,39,2018
591,Bills,16,0,133,37,2018
592,Ravens,12,0,99,33,2018
593,Falcons,15,1,151,41,2018
594,Redskins,13,0,106,33,2019
595,Buccaneers,12,2,201,70,2019
596,Seahawks,16,2,161,55,2019
597,49ers,12,3,286,49,2019
598,Chargers,11,0,74,37,2019
599,Steelers,20,1,235,96,2019
600,Cardinals,7,0,82,48,2019
601,Eagles,11,1,159,51,2019
602,Jets,12,3,138,61,2019
603,Giants,10,1,171,62,2019
604,Saints,13,2,140,55,2019
605,Patriots,25,3,353,69,2019
606,Vikings,17,1,95,21,2019
607,Dolphins,13,1,190,35,2019
608,Raiders,9,2,214,59,2019
609,Rams,13,2,137,32,2019
610,Chiefs,16,1,141,46,2019
611,Jaguars,10,1,132,35,2019
612,Colts,15,1,167,80,2019
613,Texans,12,2,302,86,2019
614,Titans,14,1,158,38,2019
615,Packers,17,0,177,39,2019
616,Lions,7,0,76,55,2019
617,Broncos,10,0,87,24,2019
618,Cowboys,7,0,83,29,2019
619,Browns,14,1,219,61,2019
620,Bengals,11,0,181,34,2019
621,Bears,10,1,157,59,2019
622,Panthers,14,0,141,37,2019
623,Bills,14,0,59,49,2019
624,Ravens,13,2,259,89,2019
